District,Cases
Dhaka ,7275
Gazipur ,338
Kishoreganj ,205
Madaripur ,57
Manikganj ,29
Narayanganj ,1243
Munshigonj ,216
Narsingdi ,176
Rajbari ,23
Faridpur ,31
Tangail ,31
Shariatpur ,65
Gopalganj ,58
Chattogram ,266
Cox's bazar ,95
Cumilla ,182
B. Baria ,57
Laksmipur ,59
Noakhali ,48
Chandpur ,56
Moulovi Bazar ,36
Sunamganj ,38
Hobiganj ,74
Sylhet ,36
Rangpur ,134
Gaibandha ,25
Nilphamari ,41
Lalmonirhat ,13
Kurigram ,35
Dinajpur ,42
Thakurgaon ,23
Khulna ,22
Narail ,14
Chuadanga ,25
Mymensingh ,233
Jamalpur ,110
Netrokona ,70
Sherpur ,39
Barguna ,37
Barishal ,55
Potuakhali ,29
Pirojpur ,29
Jhalokathi ,13
Rajshahi ,27
